#{"t_start": 1624594551.5078156, "env_id": null}
r,l,t
58.533714,201,13.508853
-89.27214,201,13.508932
-84.56504,201,13.50895
-27.405191,201,13.508965
17.574625,201,13.508978
31.802853,201,13.508991
97.931656,201,13.509003
5.945364,201,13.509016
53.544834,201,13.50903
18.46638,201,13.509042
-12.57937,201,13.509055
31.732132,201,13.509067
-17.320045,201,13.509079
39.776543,201,13.509091
117.55591,201,13.509105
-5.1459804,201,13.509118
240.2546,201,13.509131
-33.07458,201,13.509144
145.99066,201,13.509157
-13.183916,201,13.509169
32.40933,201,25.400726
2.473787,201,25.400825
34.553867,201,25.400853
27.492933,201,25.400876
86.995865,201,25.400897
95.572586,201,25.400918
51.546265,201,25.40094
24.38425,201,25.400961
62.064312,201,25.400981
7.0584226,201,25.401001
10.861421,201,25.401021
8.563196,201,25.401046
-17.20127,201,25.401067
-29.05849,201,25.401087
163.13855,201,25.401108
86.21731,201,25.401129
37.70781,201,25.401152
-13.660313,201,25.401173
-29.403954,201,25.401194
59.00562,201,25.401215
-39.26169,201,37.687625
53.463894,201,37.687698
-0.32259542,201,37.687715
180.05261,201,37.687733
2.4947436,201,37.687746
0.15486969,201,37.687759
32.665646,201,37.687772
196.33076,201,37.687784
-33.440346,201,37.687797
71.18039,201,37.687809
63.71742,201,37.687822
-72.80178,201,37.687834
-0.17321199,201,37.687847
-12.035561,201,37.687861
31.737762,201,37.687874
-140.40935,201,37.687886
69.1469,201,37.687899
30.74709,201,37.687911
-2.4740918,201,37.687923
24.108002,201,37.687936
36.51557,201,49.422947
113.638084,201,49.423023
123.14324,201,49.42304
17.629013,201,49.423054
17.223167,201,49.423068
26.632523,201,49.42308
98.641396,201,49.423093
2.6175647,201,49.423106
247.97452,201,49.423125
27.207113,201,49.423137
38.53317,201,49.42315
-11.918696,201,49.423163
47.79734,201,49.423175
-10.414612,201,49.423187
10.083996,201,49.4232
78.27091,201,49.423213
90.15588,201,49.423226
72.283905,201,49.423239
123.30635,201,49.423252
168.06107,201,49.423266
-84.83655,201,61.619888
16.572327,201,61.619962
56.090298,201,61.619979
36.742958,201,61.619992
2.4979565,201,61.620005
17.706732,201,61.620017
49.078827,201,61.620029
40.23005,201,61.620042
42.91408,201,61.620055
-40.852123,201,61.620067
27.324606,201,61.620079
2.5399284,201,61.620091
-10.369901,201,61.620103
13.931586,201,61.620116
13.339498,201,61.620128
169.6841,201,61.62014
-52.97848,201,61.620152
34.21182,201,61.620167
66.947235,201,61.62018
-8.0297,201,61.620192
-27.141026,201,73.644495
84.078705,201,73.644582
-36.811478,201,73.644607
1.9436792,201,73.644627
-9.334905,201,73.644646
72.45882,201,73.644665
57.23634,201,73.644684
52.289387,201,73.644703
-59.448257,201,73.644722
18.628925,201,73.644741
36.864353,201,73.64476
13.542146,201,73.644778
17.41269,201,73.644797
122.079445,201,73.644827
4.2326593,201,73.644847
48.145264,201,73.644866
-37.184204,201,73.644885
17.708069,201,73.644903
12.323957,201,73.644923
46.38191,201,73.644941
-29.653364,201,85.025214
-27.49178,201,85.025301
142.67355,201,85.025327
122.38547,201,85.025349
106.56989,201,85.02537
8.959874,201,85.025391
-14.498398,201,85.025412
-47.05631,201,85.025433
43.68335,201,85.025453
-22.00454,201,85.025474
7.4147367,201,85.025495
24.664913,201,85.025516
-2.5856562,201,85.02554
17.823715,201,85.025561
31.00541,201,85.025581
48.817825,201,85.025601
-24.760094,201,85.025621
-19.653326,201,85.025641
100.310104,201,85.025662
15.636738,201,85.025684
-21.673975,201,96.492031
102.16319,201,96.492102
-3.4760332,201,96.492119
87.00016,201,96.492133
-21.250116,201,96.492146
73.33264,201,96.492159
-10.561599,201,96.492171
-114.79414,201,96.492184
10.895687,201,96.492197
11.337016,201,96.492209
77.069305,201,96.492222
-31.560965,201,96.492234
3.129748,201,96.492247
-33.999092,201,96.492259
-13.191925,201,96.492272
18.039282,201,96.492284
103.238945,201,96.492297
70.51908,201,96.49231
-4.9410696,201,96.492323
11.306037,201,96.492336
53.88909,201,108.330775
21.58815,201,108.330849
23.328909,201,108.330866
12.463088,201,108.330891
6.229896,201,108.330905
10.626475,201,108.330917
22.350765,201,108.33093
28.568941,201,108.330943
-3.002625,201,108.330956
10.908685,201,108.330969
-105.864334,201,108.330982
-20.887949,201,108.330994
-7.345278,201,108.331007
63.90433,201,108.331019
23.142475,201,108.331032
-2.8318076,201,108.331044
38.57567,201,108.331057
-49.21767,201,108.33107
23.33873,201,108.331083
-112.594635,201,108.331095
33.86025,201,120.118554
67.407715,201,120.118629
39.704174,201,120.118647
33.78115,201,120.11866
199.24608,201,120.118674
-0.40798247,201,120.118687
192.65195,201,120.1187
102.32558,201,120.118713
-6.675095,201,120.118726
43.062576,201,120.118738
3.4848042,201,120.118751
-95.48767,201,120.118764
-15.498379,201,120.118777
34.108837,201,120.118789
45.768116,201,120.118802
15.217287,201,120.118815
13.581411,201,120.118827
29.814974,201,120.11884
-3.721549,201,120.118852
20.49615,201,120.118865
239.68414,201,131.644455
63.239826,201,131.64455
61.964634,201,131.644579
24.04274,201,131.644602
-129.25885,201,131.644624
8.256797,201,131.644645
-13.750347,201,131.644667
-17.78303,201,131.644689
5.3062778,201,131.644709
26.46351,201,131.644728
19.446863,201,131.644748
140.02818,201,131.644768
-17.887909,201,131.644788
98.04175,201,131.644832
-2.8403313,201,131.644855
11.055152,201,131.644876
48.527565,201,131.644897
59.087494,201,131.644917
129.62222,201,131.644938
-31.045876,201,131.644958
-109.60204,201,143.16602
124.33526,201,143.166096
29.514957,201,143.166116
11.596274,201,143.16613
41.252068,201,143.166144
60.19283,201,143.166157
102.23341,201,143.16617
-0.38386056,201,143.166183
-32.060875,201,143.166196
24.531935,201,143.166209
-52.418537,201,143.166221
65.59255,201,143.166234
-73.69738,201,143.166246
31.430582,201,143.166259
171.25818,201,143.166271
183.38744,201,143.166284
-33.31794,201,143.166296
-16.87153,201,143.166308
61.666126,201,143.166321
56.065758,201,143.166333
23.07121,201,155.669632
59.56574,201,155.669708
-26.071095,201,155.669725
-24.199806,201,155.669739
30.850456,201,155.669752
4.2566686,201,155.669765
10.8816395,201,155.669778
56.485104,201,155.669791
-44.86283,201,155.669804
-16.59828,201,155.669816
24.13583,201,155.669829
-71.113144,201,155.669842
-91.90512,201,155.669854
23.01188,201,155.669867
7.0754013,201,155.66988
12.354747,201,155.669892
12.361859,201,155.669905
-22.275835,201,155.669918
17.966782,201,155.669931
75.907234,201,155.669944
44.434658,201,167.152621
83.19937,201,167.152695
10.59185,201,167.152711
3.3471866,201,167.152725
36.609722,201,167.152738
-23.362577,201,167.152751
-54.96207,201,167.152765
40.87172,201,167.152777
-19.698967,201,167.15279
-13.536495,201,167.152803
-49.96525,201,167.152825
45.186443,201,167.152838
11.694813,201,167.152851
11.597186,201,167.152864
3.6343744,201,167.152877
44.45047,201,167.15289
101.36182,201,167.152904
16.513668,201,167.152921
15.394454,201,167.152937
-9.855822,201,167.152951
-2.0736663,201,178.771105
-40.921383,201,178.771183
32.049202,201,178.771201
5.0905805,201,178.771215
8.782351,201,178.771229
54.290363,201,178.771241
81.00098,201,178.771254
27.356089,201,178.771268
66.855385,201,178.771281
5.4626617,201,178.771293
198.8071,201,178.771306
39.337425,201,178.771319
-10.212037,201,178.771331
2.2624009,201,178.771344
42.874233,201,178.771357
-38.580986,201,178.771369
12.772945,201,178.771382
116.34761,201,178.771395
-97.86737,201,178.771409
-12.114544,201,178.771421
168.26904,201,190.281709
8.07618,201,190.281783
-24.228086,201,190.281799
-3.1901984,201,190.281813
13.609428,201,190.281826
-12.200085,201,190.281839
23.233923,201,190.281852
9.439996,201,190.281865
25.43745,201,190.281878
-22.352472,201,190.28189
266.0325,201,190.281903
9.32983,201,190.281915
59.935165,201,190.281928
128.87721,201,190.28194
161.58725,201,190.281953
53.158127,201,190.281965
101.04797,201,190.281978
25.011585,201,190.28199
32.41967,201,190.282003
25.823933,201,190.282016
68.581276,201,202.487119
55.834652,201,202.487218
44.045963,201,202.487245
-80.476814,201,202.487267
60.256866,201,202.487288
-41.79164,201,202.487309
1.2116414,201,202.48733
87.84918,201,202.48735
111.70245,201,202.48737
-3.1524925,201,202.487391
221.54155,201,202.487411
60.21817,201,202.487432
-73.76542,201,202.487453
80.5792,201,202.487473
1.3217549,201,202.487494
54.23665,201,202.487515
-10.446421,201,202.487535
56.983315,201,202.487556
-40.810867,201,202.487577
-21.535088,201,202.487598
-37.04289,201,214.156011
11.02808,201,214.156091
34.940865,201,214.156109
77.44439,201,214.156124
-21.511972,201,214.156137
114.11791,201,214.156151
-55.856907,201,214.156164
-81.093605,201,214.156177
12.412222,201,214.156189
-60.54748,201,214.156202
29.206505,201,214.156215
2.8843424,201,214.156228
25.615995,201,214.15624
32.28296,201,214.156253
-58.035294,201,214.156267
1.5206897,201,214.15628
41.65874,201,214.156292
45.42332,201,214.156305
93.34243,201,214.156318
8.733562,201,214.156331
31.549953,201,225.634394
-8.518161,201,225.634467
-17.005798,201,225.634485
-76.14515,201,225.634499
29.637163,201,225.634512
-72.7052,201,225.634526
-51.069603,201,225.634539
74.22749,201,225.634551
9.883369,201,225.634564
