#{"t_start": 1624598718.1383188, "env_id": null}
r,l,t
30.683372,201,229.740589
-29.01408,201,229.740609
28.306944,201,229.740628
-59.97372,201,229.740647
30.327415,201,229.740667
29.581665,201,246.907949
71.18235,201,246.908033
87.42926,201,246.908052
-21.82191,201,246.908066
46.51548,201,246.908078
44.49978,201,246.908091
80.33686,201,246.908103
20.423405,201,246.908117
159.71028,201,246.908129
-23.21822,201,246.908141
33.9201,201,246.908154
-26.690325,201,246.908167
90.86058,201,246.90818
115.60309,201,246.908192
150.10703,201,246.908204
93.626884,201,246.908217
42.785595,201,246.908229
12.263333,201,246.908242
25.587626,201,246.908255
-68.54896,201,246.908267
51.32212,201,263.562134
26.485378,201,263.562225
-48.36384,201,263.56225
18.293411,201,263.562272
80.36542,201,263.562294
29.525558,201,263.562335
43.446426,201,263.562355
23.382479,201,263.562374
-26.328747,201,263.562392
88.103424,201,263.562412
-32.901268,201,263.562431
-73.17909,201,263.562449
220.92172,201,263.562467
0.81284666,201,263.562486
122.64906,201,263.562505
110.39598,201,263.562523
122.0871,201,263.562543
123.10101,201,263.562563
45.681187,201,263.562582
16.208733,201,263.562602
82.07341,201,280.70664
-67.92231,201,280.70673
-33.282513,201,280.706755
36.86419,201,280.706775
6.36024,201,280.706793
26.897131,201,280.70681
38.05011,201,280.706829
32.355713,201,280.706848
13.170906,201,280.706867
-9.500776,201,280.706886
-66.86699,201,280.706904
-23.74236,201,280.706925
40.461254,201,280.706945
37.24741,201,280.706964
-29.989614,201,280.706984
10.0442295,201,280.707003
64.396286,201,280.707021
8.086558,201,280.707041
20.902086,201,280.707061
-4.875069,201,280.707105
5.884495,201,298.678295
24.99513,201,298.678407
-5.7733235,201,298.678436
22.184986,201,298.678459
-107.78046,201,298.67848
53.71538,201,298.678502
48.566708,201,298.678523
33.425625,201,298.678543
200.343,201,298.678563
20.706926,201,298.678584
46.21725,201,298.678604
23.115366,201,298.678625
46.37132,201,298.678646
42.699165,201,298.678667
20.95246,201,298.678688
-48.63584,201,298.678707
0.56477755,201,298.678727
-5.0517235,201,298.678748
7.3221703,201,298.67877
-25.445713,201,298.678791
-4.6520567,201,315.872088
62.4674,201,315.872203
-76.71806,201,315.872227
123.50822,201,315.872246
28.276333,201,315.872264
-46.33427,201,315.872281
-61.357418,201,315.872298
-2.7289681,201,315.872315
144.1054,201,315.872332
2.9270966,201,315.872349
40.633957,201,315.872365
-62.04209,201,315.872382
10.595308,201,315.872399
-69.04253,201,315.872418
230.33936,201,315.872437
-88.61225,201,315.872457
43.808285,201,315.872477
15.365514,201,315.872496
13.744572,201,315.872516
88.923256,201,315.872535
63.970577,201,332.613078
25.02571,201,332.613175
13.26322,201,332.613202
12.22908,201,332.613224
-118.586,201,332.613244
74.109184,201,332.613265
236.79886,201,332.613286
-69.87477,201,332.61331
-6.96482,201,332.613331
40.991203,201,332.61335
-51.594753,201,332.61337
13.454489,201,332.61339
200.74098,201,332.61341
51.330605,201,332.613431
83.018005,201,332.613451
76.833954,201,332.613472
15.859373,201,332.613492
22.263248,201,332.613513
19.92426,201,332.613532
-3.09808,201,332.613552
-12.801478,201,349.449288
25.129297,201,349.44939
43.19636,201,349.449417
189.16064,201,349.449439
-56.425793,201,349.44946
18.104841,201,349.449481
235.3413,201,349.449501
137.68924,201,349.44952
30.131874,201,349.44954
66.300476,201,349.44956
3.413646,201,349.44958
94.506294,201,349.449601
58.72824,201,349.449622
43.163136,201,349.449642
-37.960587,201,349.449662
-94.8737,201,349.449682
46.82249,201,349.449702
181.70958,201,349.449723
20.12645,201,349.449743
8.525385,201,349.449762
10.559838,201,367.111045
94.84803,201,367.111122
37.12518,201,367.11114
-5.684426,201,367.111155
55.5701,201,367.111169
3.426502,201,367.111183
7.4209485,201,367.111197
49.596516,201,367.111211
24.1199,201,367.111225
63.20721,201,367.111238
150.02245,201,367.111251
28.506968,201,367.111264
50.628002,201,367.111278
-19.737078,201,367.111291
88.646706,201,367.111304
-42.53376,201,367.111318
-26.589647,201,367.111331
200.8256,201,367.111344
94.166794,201,367.111359
-19.990126,201,367.111374
43.48712,201,384.015079
-6.5820613,201,384.015176
17.18663,201,384.015203
27.171091,201,384.015224
32.38261,201,384.015243
25.697954,201,384.015263
110.128494,201,384.015281
-46.50028,201,384.015302
8.258233,201,384.015323
-72.29733,201,384.015345
81.62476,201,384.015367
-9.115575,201,384.015388
-49.755554,201,384.015409
60.344784,201,384.01543
31.575138,201,384.015451
97.01827,201,384.015471
-15.074887,201,384.015491
10.881543,201,384.015511
53.921703,201,384.015531
31.148432,201,384.015551
-27.7966,201,401.063586
36.266937,201,401.06366
40.18615,201,401.063678
33.77322,201,401.063692
8.348249,201,401.063705
237.10115,201,401.063719
-53.26313,201,401.063732
42.302097,201,401.063745
50.430374,201,401.063759
17.038364,201,401.063772
20.328093,201,401.063785
59.362785,201,401.063799
-21.991547,201,401.063812
157.80133,201,401.063826
89.34067,201,401.06384
-31.009373,201,401.063853
93.437584,201,401.063869
-19.76096,201,401.063882
-60.231747,201,401.063895
38.019836,201,401.063908
156.82939,201,418.690387
7.33055,201,418.690489
19.506975,201,418.690516
-25.862177,201,418.69054
97.23944,201,418.690561
34.026104,201,418.690581
87.270096,201,418.6906
-35.930126,201,418.690619
9.074748,201,418.690637
-5.6842923,201,418.690655
-65.65374,201,418.690674
139.97131,201,418.690692
-3.0082898,201,418.690711
54.277058,201,418.690731
64.873024,201,418.690751
-38.31609,201,418.69077
37.498657,201,418.690791
112.55498,201,418.690813
140.8666,201,418.690834
96.67704,201,418.690875
2.3008413,201,435.930045
-8.519162,201,435.930172
0.8739129,201,435.930197
-9.090035,201,435.930217
52.44946,201,435.930237
220.6581,201,435.930257
0.17212662,201,435.930276
47.22408,201,435.930295
-10.122196,201,435.930333
-66.38702,201,435.930354
69.88905,201,435.930373
14.410037,201,435.930392
39.64182,201,435.93041
-5.3541985,201,435.930429
71.90749,201,435.930449
75.79693,201,435.930467
12.816824,201,435.930485
-5.199476,201,435.930505
13.635374,201,435.930524
23.618105,201,435.930542
40.90431,201,452.913403
-51.728794,201,452.913502
-53.561718,201,452.913528
-21.45124,201,452.913549
-2.2067254,201,452.913569
95.287735,201,452.913589
30.715631,201,452.91361
85.385056,201,452.91363
29.76057,201,452.91365
65.42163,201,452.913671
0.35237557,201,452.91369
57.568993,201,452.913709
19.698309,201,452.913728
63.873077,201,452.913749
66.824615,201,452.91377
-6.009782,201,452.91379
-20.89123,201,452.913811
63.26944,201,452.913831
-25.575714,201,452.91385
-3.9793453,201,452.913869
-6.1528206,201,469.378962
13.737615,201,469.379053
31.488136,201,469.379079
-66.106224,201,469.379099
50.121723,201,469.37912
21.940495,201,469.37914
-61.558304,201,469.379159
156.58243,201,469.379179
20.571018,201,469.3792
-43.63646,201,469.379219
-88.24026,201,469.379238
-23.770714,201,469.379257
-54.371025,201,469.379277
12.772569,201,469.379297
10.331402,201,469.379317
47.714535,201,469.379437
59.390774,201,469.379465
148.57486,201,469.379486
41.641834,201,469.379505
-0.5843777,201,469.379524
-18.993494,201,487.697459
24.469873,201,487.697556
5.039581,201,487.697583
131.84705,201,487.697606
110.88673,201,487.697626
45.966747,201,487.697646
-11.764566,201,487.697668
0.7087056,201,487.697689
44.29661,201,487.69771
3.971224,201,487.697731
-0.7712899,201,487.697752
-7.9620337,201,487.697773
-4.8574214,201,487.697794
16.513632,201,487.697814
33.40415,201,487.697834
18.798283,201,487.697857
50.33738,201,487.697879
60.683277,201,487.6979
12.642279,201,487.69792
-56.242004,201,487.697941
-44.17459,201,504.795053
4.4462323,201,504.79513
106.92212,201,504.795147
38.625496,201,504.795161
52.18574,201,504.795174
16.486586,201,504.795187
-39.864735,201,504.7952
62.39349,201,504.795212
54.4449,201,504.795225
24.854597,201,504.795238
120.85572,201,504.79525
56.587246,201,504.795263
6.575055,201,504.795275
97.010056,201,504.795288
60.893227,201,504.795301
-15.331469,201,504.795313
-13.69647,201,504.795325
-15.19743,201,504.795338
0.7031128,201,504.795351
92.91967,201,504.795363
-10.289438,201,522.052396
37.80469,201,522.052492
26.012775,201,522.052518
5.298968,201,522.05254
10.476257,201,522.052561
43.83607,201,522.05258
-19.999079,201,522.052599
28.420834,201,522.052619
2.5128582,201,522.052639
-39.112522,201,522.052659
166.30196,201,522.052678
-31.390337,201,522.052698
-21.208323,201,522.052718
51.600548,201,522.052738
2.5576444,201,522.052757
23.771872,201,522.052777
9.6007,201,522.052797
-21.540274,201,522.052816
0.6389189,201,522.052836
80.41861,201,522.052857
3.082824,201,539.0664
-30.190245,201,539.066482
16.9829,201,539.066507
7.565698,201,539.066527
136.61069,201,539.066547
83.44103,201,539.066567
-69.87802,201,539.066587
14.695126,201,539.066608
-4.0024037,201,539.06663
22.995663,201,539.066651
31.391499,201,539.06667
59.09035,201,539.066691
-12.25926,201,539.066712
-25.192997,201,539.066733
36.191547,201,539.066755
12.408438,201,539.066776
47.810574,201,539.066795
-2.5739613,201,539.066815
127.58096,201,539.066834
-25.703745,201,539.066854
89.69152,201,557.068047
52.900234,201,557.068152
14.879325,201,557.06818
0.369464,201,557.068202
62.4545,201,557.068223
67.45939,201,557.068244
56.74901,201,557.068264
7.892505,201,557.068283
158.85596,201,557.068303
61.93825,201,557.068322
9.314253,201,557.068343
-100.76768,201,557.068364
-68.55181,201,557.068386
-110.72247,201,557.068407
172.05574,201,557.068426
31.368912,201,557.068445
107.78181,201,557.068465
27.353243,201,557.068608
39.362556,201,557.068651
27.41493,201,557.068676
90.80845,201,574.034218
50.882736,201,574.034381
44.718414,201,574.034431
24.425865,201,574.034472
39.939518,201,574.034511
110.61133,201,574.034549
-57.25212,201,574.034586
76.752655,201,574.034624
9.841558,201,574.034661
246.47247,201,574.034702
5.744991,201,574.034741
-5.057026,201,574.03478
17.30686,201,574.034819
-4.11694,201,574.03486
-54.590385,201,574.034898
-0.23367622,201,574.034934
-42.73662,201,574.034972
44.752518,201,574.035009
35.285595,201,574.035047
-5.7303877,201,574.035084
160.53258,201,591.045922
61.16665,201,591.046001
-66.99081,201,591.046019
13.191811,201,591.046033
8.82149,201,591.046046
10.009769,201,591.046059
193.42334,201,591.046072
-36.192375,201,591.046086
-12.364098,201,591.046099
-13.726808,201,591.046112
28.418081,201,591.046125
36.054977,201,591.046138
129.59639,201,591.04615
35.302517,201,591.046164
19.783676,201,591.046176
20.983248,201,591.046189
4.2577424,201,591.046203
15.275056,201,591.046216
125.90231,201,591.046229
-28.20049,201,591.046243
98.51326,201,608.895401
71.235085,201,608.896263
0.8907023,201,608.896739
12.071508,201,608.897174
-17.14658,201,608.897594
50.829956,201,608.897631
116.8453,201,608.897655
60.09367,201,608.897678
-21.587255,201,608.897699
37.575665,201,608.897722
9.143036,201,608.897744
-33.45533,201,608.897764
157.10005,201,608.897784
-87.12703,201,608.897804
-54.92794,201,608.897824
-90.8276,201,608.897844
0.28301296,201,608.897863
46.12037,201,608.897883
28.997066,201,608.897902
65.53349,201,608.897921
10.65137,201,625.685807
-61.08727,201,625.685889
2.8978865,201,625.685914
33.895714,201,625.685935
144.74818,201,625.685957
-7.7982254,201,625.685977
12.297067,201,625.685996
-35.953014,201,625.686015
12.85117,201,625.686036
4.267667,201,625.686056
55.513176,201,625.686074
3.9452543,201,625.686094
13.821154,201,625.686114
15.214141,201,625.686133
12.494282,201,625.686153
72.2945,201,625.686172
59.3294,201,625.686191
23.459253,201,625.686212
81.40884,201,625.686231
28.43562,201,625.68625
35.44776,201,642.926797
0.9155892,201,642.926897
2.2080944,201,642.926924
20.524954,201,642.926947
189.47534,201,642.926968
44.09652,201,642.926989
9.712818,201,642.927008
13.244962,201,642.927027
-55.415657,201,642.927045
-13.284165,201,642.927063
51.471725,201,642.92708
-10.55689,201,642.927098
31.665241,201,642.927116
-22.06175,201,642.927133
30.021759,201,642.927152
38.599842,201,642.927172
57.42939,201,642.927191
36.50952,201,642.927211
92.76348,201,642.927229
-11.457707,201,642.927247
80.884605,201,659.521039
28.074284,201,659.521119
70.39138,201,659.521137
45.420525,201,659.521151
25.244034,201,659.521164
-36.167892,201,659.521177
59.785957,201,659.52119
50.637817,201,659.521203
-32.70669,201,659.521216
-5.0372295,201,659.521229
-20.150589,201,659.521241
40.975452,201,659.521254
23.390938,201,659.521266
-14.111899,201,659.521279
-19.26673,201,659.521291
-69.24037,201,659.521304
35.19342,201,659.521317
-95.26146,201,659.521329
112.3504,201,659.521344
163.71817,201,659.521359
-1.9381944,201,677.389526
4.8557982,201,677.389618
30.262104,201,677.389644
39.83364,201,677.389665
-12.578789,201,677.389686
-3.6114,201,677.389708
-43.259453,201,677.389729
8.10483,201,677.38975
4.0567045,201,677.389771
31.988594,201,677.389791
-25.1415,201,677.38981
-8.138104,201,677.38983
116.55242,201,677.38985
30.632717,201,677.38987
11.269552,201,677.389891
