Date,Open,High,Low,Close,Adj Close,Volume
2011-01-04,31656.0,32540.0,31656.0,31692.0,31692.0,281
2011-01-05,32020.0,32040.0,30872.0,31020.0,31020.0,186
2011-01-06,30976.0,31472.0,30748.0,31152.0,31152.0,208
2011-01-07,30896.0,32004.0,30472.0,31216.0,31216.0,108
2011-01-10,31856.0,32348.0,31104.0,31152.0,31152.0,176
2011-01-11,30688.0,30904.0,30204.0,30292.0,30292.0,152
2011-01-12,29644.0,29708.0,28864.0,28940.0,28940.0,112
2011-01-13,28912.0,29216.0,28596.0,28600.0,28600.0,35
2011-01-14,28800.0,28800.0,27120.0,27420.0,27420.0,117
2011-01-18,27208.0,27352.0,26568.0,26584.0,26584.0,51
2011-01-19,26724.0,28500.0,26656.0,27968.0,27968.0,137
2011-01-20,28156.0,28816.0,27572.0,27724.0,27724.0,246
2011-01-21,26956.0,28248.0,26948.0,27988.0,27988.0,85
2011-01-24,28040.0,28180.0,27324.0,27384.0,27384.0,88
2011-01-25,27676.0,28068.0,27036.0,27036.0,27036.0,63
2011-01-26,26776.0,26948.0,26064.0,26192.0,26192.0,81
2011-01-27,26228.0,26340.0,25640.0,25700.0,25700.0,35
2011-01-28,25604.0,28244.0,25452.0,27852.0,27852.0,154
2011-01-31,27484.0,27924.0,27352.0,27740.0,27740.0,67
2011-02-01,27112.0,27112.0,26152.0,26420.0,26420.0,93
2011-02-02,26624.0,26680.0,25964.0,26312.0,26312.0,50
2011-02-03,26412.0,27072.0,25920.0,26000.0,26000.0,43
2011-02-04,25916.0,25980.0,25340.0,25388.0,25388.0,84
2011-02-07,25096.0,25096.0,24644.0,24920.0,24920.0,52
2011-02-08,24876.0,25200.0,24504.0,24580.0,24580.0,59
2011-02-09,24844.0,25200.0,24644.0,24700.0,24700.0,138
2011-02-10,25348.0,25348.0,24604.0,24680.0,24680.0,81
2011-02-11,24960.0,24960.0,24260.0,24280.0,24280.0,106
2011-02-14,24292.0,24408.0,24060.0,24064.0,24064.0,97
2011-02-15,24196.0,24412.0,24112.0,24388.0,24388.0,76
2011-02-16,24048.0,24676.0,23820.0,24676.0,24676.0,119
2011-02-17,24816.0,25100.0,24792.0,24916.0,24916.0,121
2011-02-18,24844.0,25400.0,24840.0,25176.0,25176.0,93
2011-02-22,26708.0,28460.0,25824.0,28320.0,28320.0,275
2011-02-23,28348.0,30332.0,28044.0,29572.0,29572.0,281
2011-02-24,29532.0,30120.0,28988.0,29180.0,29180.0,68
2011-02-25,28384.0,28384.0,27360.0,27396.0,27396.0,121
2011-02-28,26724.0,26724.0,26032.0,26216.0,26216.0,164
2011-03-01,25964.0,28184.0,25900.0,28132.0,28132.0,247
2011-03-02,28228.0,28508.0,27436.0,28240.0,28240.0,197
2011-03-03,26932.0,27172.0,26740.0,26780.0,26780.0,75
2011-03-04,26624.0,28048.0,26576.0,27544.0,27544.0,109
2011-03-07,28200.0,29004.0,26864.0,28244.0,28244.0,117
2011-03-08,28056.0,28808.0,27416.0,27628.0,27628.0,42
2011-03-09,27992.0,28760.0,27872.0,27996.0,27996.0,59
2011-03-10,29048.0,29624.0,28728.0,29416.0,29416.0,99
2011-03-11,30004.0,30004.0,28460.0,28608.0,28608.0,95
2011-03-14,29580.0,29792.0,28872.0,28984.0,28984.0,64
2011-03-15,32112.0,32172.0,29644.0,30152.0,30152.0,497
2011-03-16,30408.0,33996.0,30232.0,32864.0,32864.0,668
2011-03-17,31000.0,31860.0,30728.0,31636.0,31636.0,269
2011-03-18,30192.0,31080.0,30192.0,30684.0,30684.0,116
2011-03-21,29328.0,29348.0,28276.0,28284.0,28284.0,221
2011-03-22,27980.0,28436.0,27924.0,28044.0,28044.0,108
2011-03-23,28392.0,28876.0,27016.0,27092.0,27092.0,253
2011-03-24,26284.0,26764.0,26144.0,26372.0,26372.0,251
2011-03-25,26028.0,26412.0,25688.0,26348.0,26348.0,390
