Date,Open,High,Low,Close,Adj Close,Volume
1993-01-29,43.96875,43.96875,43.75,43.9375,25.884184,1003200
1993-02-01,43.96875,44.25,43.96875,44.25,26.068277,480500
1993-02-02,44.21875,44.375,44.125,44.34375,26.123499,201300
1993-02-03,44.40625,44.84375,44.375,44.8125,26.399649,529400
1993-02-04,44.96875,45.09375,44.46875,45.0,26.510111,531500
1993-02-05,44.96875,45.0625,44.71875,44.96875,26.491711,492100
1993-02-08,44.96875,45.125,44.90625,44.96875,26.491711,596100
1993-02-09,44.8125,44.8125,44.5625,44.65625,26.30759,122100
1993-02-10,44.65625,44.75,44.53125,44.71875,26.344427000000003,379600
1993-02-11,44.78125,45.125,44.78125,44.9375,26.473289,19500
1993-02-12,44.875,44.875,44.59375,44.59375,26.270785999999998,42500
1993-02-16,44.46875,44.46875,43.40625,43.46875,25.608032,374800
1993-02-17,43.46875,43.53125,43.28125,43.4375,25.589626000000003,210900
1993-02-18,43.9375,43.9375,42.8125,43.40625,25.571209,378100
1993-02-19,43.40625,43.5625,43.34375,43.5625,25.66325,34900
1993-02-22,43.6875,43.78125,43.5625,43.71875,25.755306,513600
1993-02-23,43.84375,43.875,43.46875,43.6875,25.7369,373700
1993-02-24,43.71875,44.25,43.71875,44.25,26.068277,26300
1993-02-25,44.21875,44.375,44.125,44.34375,26.123499,44500
1993-02-26,44.4375,44.4375,44.1875,44.40625,26.160335999999997,66200
1993-03-01,44.5625,44.5625,44.21875,44.28125,26.086682999999997,66500
1993-03-02,44.3125,44.9375,44.25,44.9375,26.473289,182400
1993-03-03,45.0,45.15625,44.9375,45.125,26.583761,280100
1993-03-04,45.1875,45.1875,44.875,44.875,26.436472,89500
1993-03-05,44.9375,45.125,44.71875,44.75,26.362821999999998,40000
1993-03-08,44.84375,45.75,44.84375,45.75,26.951933,50800
1993-03-09,45.65625,45.6875,45.5,45.59375,26.859913,169300
1993-03-10,45.59375,45.6875,45.40625,45.6875,26.915115000000004,194400
