#{"t_start": 1624594547.974161, "env_id": null}
r,l,t
21.72276,201,156.080188
-100.79709,201,156.080207
-55.72323,201,156.080227
-1.8817935,201,156.080246
-29.999292,201,156.080265
8.256425,201,156.080285
73.03144,201,167.604453
8.513076,201,167.604527
-28.6229,201,167.604544
126.48939,201,167.604558
59.698772,201,167.604571
56.596073,201,167.604584
-4.706321,201,167.604596
-28.650377,201,167.604609
-47.813374,201,167.604621
10.988567,201,167.604634
-20.946548,201,167.604646
50.493717,201,167.604658
0.703665,201,167.604671
-11.681404,201,167.604683
66.339424,201,167.604696
71.07379,201,167.604708
10.154792,201,167.604721
-44.68831,201,167.604733
-18.619953,201,167.604746
18.461348,201,167.604759
-0.6634799,201,179.031856
-31.555285,201,179.031942
53.846684,201,179.03197
-1.3164752,201,179.031992
38.229866,201,179.032014
-4.5178685,201,179.032038
34.08171,201,179.032058
233.52686,201,179.032079
26.533155,201,179.0321
-8.264483,201,179.032121
-21.231768,201,179.032141
5.8197007,201,179.032161
83.21059,201,179.032182
72.40063,201,179.032202
13.563783,201,179.032222
3.3243508,201,179.032242
-11.882036,201,179.032262
7.490651,201,179.032282
-13.03288,201,179.032301
36.110176,201,179.032323
58.052197,201,190.843172
139.65108,201,190.843255
10.593043,201,190.843275
-16.04447,201,190.843289
38.63961,201,190.843302
49.287334,201,190.843315
18.877682,201,190.843328
57.605022,201,190.84334
5.7071414,201,190.843354
32.866264,201,190.843366
30.710548,201,190.843379
4.11385,201,190.843391
73.44464,201,190.843404
9.7918415,201,190.843416
-12.661424,201,190.843429
70.14181,201,190.843441
14.145711,201,190.843454
127.783554,201,190.843466
-38.244984,201,190.843479
-14.061224,201,190.843492
34.386192,201,202.945704
-1.4260155,201,202.945806
32.85843,201,202.945825
51.556206,201,202.94584
72.464455,201,202.945854
-111.93268,201,202.945867
-39.669727,201,202.94588
-48.97799,201,202.945892
50.51794,201,202.945905
-18.252066,201,202.945918
106.48899,201,202.945932
-21.820742,201,202.945945
111.65019,201,202.945958
135.60104,201,202.945971
35.535168,201,202.945984
0.06764757,201,202.945997
38.17912,201,202.94601
43.45463,201,202.946024
-17.244871,201,202.946037
-10.607549,201,202.946051
27.712906,201,214.574111
39.211914,201,214.574189
-35.83245,201,214.574209
6.351357,201,214.574227
14.870747,201,214.574244
13.988251,201,214.574261
-73.66604,201,214.574279
14.808593,201,214.574298
-6.5112658,201,214.574315
34.24198,201,214.574334
-30.64614,201,214.574354
-1.1243157,201,214.574375
50.504513,201,214.574395
80.01157,201,214.574414
-3.1833768,201,214.574435
145.12154,201,214.574457
48.828896,201,214.574488
-48.911167,201,214.57451
15.292945,201,214.574531
9.218053,201,214.574552
33.489,201,226.076289
-14.144165,201,226.076363
12.480483,201,226.07638
10.415401,201,226.076393
46.14935,201,226.076406
87.412926,201,226.07642
49.434216,201,226.076432
10.454085,201,226.076445
-3.094884,201,226.076458
-5.295644,201,226.07647
18.189112,201,226.076483
113.1758,201,226.076495
21.177118,201,226.076508
33.706818,201,226.076521
235.13805,201,226.076534
6.873822,201,226.076546
38.3126,201,226.076558
6.651808,201,226.076572
-43.10401,201,226.076585
43.948765,201,226.076597
-24.372255,201,238.404243
168.24667,201,238.404328
29.642675,201,238.404357
-32.421387,201,238.40438
19.007664,201,238.4044
49.815018,201,238.404421
44.267574,201,238.404442
59.236874,201,238.404462
